date,retail_sales_billions
2015-01-01,428.21
2015-02-01,427.12
2015-03-01,433.65
2015-04-01,434.47
2015-05-01,437.87
2015-06-01,437.95
2015-07-01,441.94
2015-08-01,441.85
2015-09-01,439.87
2015-10-01,438.69
2015-11-01,440.3
2015-12-01,442.15
2016-01-01,439.47
2016-02-01,443.12
2016-03-01,441.86
2016-04-01,444.25
2016-05-01,445.49
2016-06-01,450.24
2016-07-01,449.79
2016-08-01,449.95
2016-09-01,453.06
2016-10-01,453.85
2016-11-01,453.89
2016-12-01,459.31
2017-01-01,464.41
2017-02-01,464.28
2017-03-01,463.67
2017-04-01,465.28
2017-05-01,462.75
2017-06-01,465.13
2017-07-01,465.09
2017-08-01,466.02
2017-09-01,475.72
2017-10-01,476.11
2017-11-01,480.95
2017-12-01,483.59
2018-01-01,481.41
2018-02-01,484.03
2018-03-01,484.11
2018-04-01,484.15
2018-05-01,491.96
2018-06-01,490.23
2018-07-01,493.14
2018-08-01,493.44
2018-09-01,491.51
2018-10-01,496.42
2018-11-01,498.85
2018-12-01,489.11
2019-01-01,490.44
2019-02-01,491.75
2019-03-01,499.29
2019-04-01,499.34
2019-05-01,504.74
2019-06-01,505.25
2019-07-01,509.09
2019-08-01,512.56
2019-09-01,509.28
2019-10-01,510.65
2019-11-01,514.22
2019-12-01,515.87
2020-01-01,515.12
2020-02-01,515.33
2020-03-01,468.32
2020-04-01,401.03
2020-05-01,478.45
2020-06-01,518.04
2020-07-01,526.3
2020-08-01,530.74
2020-09-01,541.3
2020-10-01,539.11
2020-11-01,533.94
2020-12-01,538.55
2021-01-01,559.23
2021-02-01,544.89
2021-03-01,603.58
2021-04-01,608.96
2021-05-01,605.28
2021-06-01,611.95
2021-07-01,601.82
2021-08-01,605.53
2021-09-01,609.67
2021-10-01,618.57
2021-11-01,624.87
2021-12-01,619.94
2022-01-01,631.51
2022-02-01,638.1
2022-03-01,651.03
2022-04-01,660.19
2022-05-01,659.85
2022-06-01,666.11
2022-07-01,659.55
2022-08-01,663.57
2022-09-01,661.85
2022-10-01,668.67
2022-11-01,659.46
2022-12-01,651.76
2023-01-01,680.25
2023-02-01,672.15
2023-03-01,665.07
2023-04-01,670.49
2023-05-01,673.9
2023-06-01,677.12
2023-07-01,678.42
2023-08-01,684.75
2023-09-01,689.4
2023-10-01,686.15
2023-11-01,685.33
2023-12-01,686.28
2024-01-01,680.46
2024-02-01,685.28
2024-03-01,687.64
2024-04-01,687.6
2024-05-01,692.77
2024-06-01,692.45
2024-07-01,698.84
2024-08-01,697.04
2024-09-01,703.05
2024-10-01,708.29
2024-11-01,711.85
2024-12-01,717.26
2025-01-01,711.26
2025-02-01,711.58
2025-03-01,723.35
2025-04-01,721.79
2025-05-01,716.1
2025-06-01,723.03
2025-07-01,727.73
2025-08-01,731.7
2025-09-01,732.19
2025-10-01,731.05
2025-11-01,734.72
2025-12-01,734.72
2026-01-01,734.5
2026-02-01,739.77
2026-03-01,752.06
